Codici statistici e denominazioni delle unità amministrative rispondenti ai nuovi assetti territoriali della Sardegna. In vigore dal 1° gennaio 2026;;;;;;
"Denominazione Provincia/
Città metropolitana";"Codice Provincia/
Città metropolitana";Codice Comune;Denominazione Comune;Codice Comune precedente;"Codice Provincia/
Città metropolitana precedente";"Denominazione Provincia/
Città metropolitana
(ripartizione precedente)"
Provincia dell'Ogliastra;116;116018;Triei;091097;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116019;Ulassai;091098;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116020;Urzulei;091099;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116021;Ussassai;091100;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116022;Villagrande Strisaili;091101;091;Provincia di Nuoro
Provincia dell'Ogliastra;116;116023;Seui;111081;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117001;Arbus;111001;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117002;Barumini;111005;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117003;Collinas;111012;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117004;Furtei;111022;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117005;Genuri;111024;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117006;Gesturi;111027;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117007;Gonnosfanadiga;111031;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117008;Guspini;111034;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117009;Las Plassas;111037;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117010;Lunamatrona;111038;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117011;Pabillonis;111052;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117012;Pauli Arbarei;111053;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117013;Samassi;111059;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117014;San Gavino Monreale;111062;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117015;Sanluri;111067;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117016;Sardara;111072;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117017;Segariu;111073;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117018;Serramanna;111077;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117019;Serrenti;111078;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117020;Setzu;111080;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117021;Siddi;111083;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117022;Tuili;111091;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117023;Turri;111092;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117024;Ussaramanna;111094;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117025;Villacidro;111096;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117026;Villamar;111097;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117027;Villanovaforru;111100;111;Provincia del Sud Sardegna
Provincia del Medio Campidano;117;117028;Villanovafranca;111101;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118001;Armungia;111002;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118002;Assemini;092003;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118003;Ballao;111003;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118004;Barrali;111004;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118005;Burcei;111007;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118006;Cagliari;092009;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118007;Capoterra;092011;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118008;Castiadas;111011;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118009;Decimomannu;092015;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118010;Decimoputzu;111013;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118011;Dolianova;111014;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118012;Domus de Maria;111015;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118013;Donori;111017;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118014;Elmas;092108;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118015;Escalaplano;111018;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118016;Escolca;111019;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118017;Esterzili;111020;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118018;Genoni;111023;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118019;Gergei;111025;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118020;Gesico;111026;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118021;Goni;111029;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118022;Guamaggiore;111032;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118023;Guasila;111033;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118024;Isili;111036;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118025;Mandas;111039;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118026;Maracalagonis;092037;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118027;Monastir;111041;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118028;Monserrato;092109;292;Città metropolitana di Cagliari
Città metropolitana di Cagliari;318;118029;Muravera;111042;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118030;Nuragus;111045;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118031;Nurallao;111046;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118032;Nuraminis;111047;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118033;Nurri;111048;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118034;Orroli;111050;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118035;Ortacesus;111051;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118036;Pimentel;111055;111;Provincia del Sud Sardegna
Città metropolitana di Cagliari;318;118037;Pula;092050;292;Città metropolitana di Cagliari
